Movie,budget,dom_gross,year,month,day,RT_title,RT_aud_score,RT_crit_score,RT_runtime,RT_cast1,RT_cast2,RT_cast3,imdb_id,Metascore,Language,Director,Genre,imdbRating,imdbVotes,mpaa_kid,mpaa_adult,Holiday,DayOfWeek
Avatar,425000000,760507625,2009,12,18,Avatar,82.0,83.0,162.0,Sam Worthington,Zoe Saldana,Sigourney Weaver,tt0499549,83.0,"English, Spanish",James Cameron,"Action, Adventure, Fantasy",8.0,651019.0,1,0,0,4
Pirates of the Caribbean: At World's End,300000000,309420425,2007,5,24,Pirates of the Caribbean: At Worlds End,72.0,44.0,169.0,Johnny Depp,Geoffrey Rush,Orlando Bloom,tt0449088,50.0,English,Gore Verbinski,"Action, Adventure, Fantasy",7.1,339173.0,1,0,0,3
The Dark Knight Rises,275000000,448139099,2012,7,20,The Dark Knight Rises,90.0,88.0,165.0,Christian Bale,Anne Hathaway,Tom Hardy,tt1345836,78.0,English,Christopher Nolan,"Action, Crime, Thriller",8.6,739332.0,1,0,0,4
The Lone Ranger,275000000,89289910,2013,7,2,The Lone Ranger,54.0,30.0,149.0,Johnny Depp,Armie Hammer,William Fichtner,tt1210819,37.0,"English, North American Indian",Gore Verbinski,"Action, Adventure, Western",6.6,110352.0,1,0,1,1
John Carter,275000000,73058679,2012,3,9,John Carter,60.0,51.0,118.0,Taylor Kitsch,Lynn Collins,Samantha Morton,tt0401729,51.0,English,Andrew Stanton,"Action, Adventure, Fantasy",6.6,162426.0,1,0,0,4
Tangled,260000000,200821936,2010,11,24,Tangled,87.0,89.0,100.0,Mandy Moore,Zachary Levi,Donna Murphy,tt0398286,71.0,English,"Nathan Greno, Byron Howard","Animation, Comedy, Family",7.9,170907.0,1,0,1,2
Spider-Man 3,258000000,336530303,2007,5,4,Spider-Man 3,51.0,63.0,139.0,Tobey Maguire,Kirsten Dunst,James Franco,tt0413300,59.0,"English, French",Sam Raimi,"Action, Adventure, Fantasy",6.3,257854.0,1,0,0,4
The Hobbit: An Unexpected Journey,250000000,303003568,2012,12,14,The Hobbit: An Unexpected Journey,83.0,65.0,170.0,Ian McKellen,Martin Freeman,Richard Armitage,tt0903624,58.0,English,Peter Jackson,"Adventure, Fantasy",8.1,427244.0,1,0,0,4
Harry Potter and the Half-Blood Prince,250000000,301959197,2009,7,15,Harry Potter and the Half-Blood Prince,77.0,84.0,154.0,Daniel Radcliffe,Rupert Grint,Emma Watson,tt0417741,78.0,English,David Yates,"Adventure, Family, Fantasy",7.4,227252.0,1,0,0,2
The Hobbit: The Desolation of Smaug,250000000,254710178,2013,12,13,The Hobbit: The Desolation Of Smaug,85.0,75.0,161.0,Ian McKellen,Martin Freeman,Richard Armitage,tt1170358,66.0,English,Peter Jackson,"Adventure, Fantasy",8.2,206398.0,1,0,0,4
