RT_title,cast1,cast2,cast3,length,budget,imdb_rating,imdb_votes,rlow,rmed,rhigh,Action,Animation,Comedy,Drama,Documentary,Romance,RT_aud_score,RT_crit_score,RT_year,num_month,num_day,num_year,num_gross,mpaa_kid,mpaa_adult,Holiday,DayOfWeek
10 Things I Hate About You,Heath Ledger,Julia Stiles,Joseph Gordon-Levitt,97,14500000,6.7,19095,13.5,48.0,43.5,0,0,1,0,0,1,69,61,1999,3,31,1999,38177966,1,0,0,2
102 Dalmatians,Glenn Close,Ioan Gruffudd,Alice Evans,100,85000000,4.7,1987,23.5,68.0,13.5,0,0,1,0,0,0,32,31,2000,11,22,2000,66941559,1,0,1,2
13 Going on 30,Jennifer Garner,Mark Ruffalo,Judy Greer,98,33500000,6.4,7859,13.5,48.0,33.5,0,0,1,1,0,1,71,64,2004,4,23,2004,57139723,1,0,0,4
The 13th Warrior,Antonio Banderas,Diane Venora,Dennis Storhoi,102,105000000,6.1,14344,13.5,58.0,23.5,1,0,0,0,0,0,66,33,1999,8,27,1999,32698899,0,1,0,4
15 Minutes,Robert De Niro,Edward Burns,Kelsey Grammer,120,42000000,6.1,10866,13.5,68.0,23.5,0,0,0,1,0,0,38,33,2001,3,9,2001,24375436,0,1,0,4
2 Fast 2 Furious,Paul Walker,Tyrese Gibson,Eva Mendes,107,76000000,5.1,9556,23.5,48.0,13.5,1,0,0,0,0,0,50,36,2003,6,6,2003,127120058,1,0,0,4
200 Cigarettes,Ben Affleck,Casey Affleck,Dave Chappelle,101,6000000,5.4,4514,13.5,58.0,23.5,0,0,1,1,0,0,60,28,1999,2,26,1999,6852450,0,1,0,4
2046,Li Gong,Takuya Kimura,Faye Wong,129,12000000,7.6,2663,13.5,28.0,63.5,0,0,0,1,0,1,85,85,2004,8,5,2005,1442338,0,1,0,4
21 Grams,Sean Penn,Benicio Del Toro,Naomi Watts,124,20000000,8.0,21857,13.5,28.0,63.5,0,0,0,1,0,0,86,80,2003,11,21,2003,16248701,0,1,0,4
25th Hour,Edward Norton,Philip Seymour Hoffman,Barry Pepper,135,9750000,7.8,15788,13.5,28.0,73.5,0,0,0,1,0,0,85,78,2003,12,19,2002,13084595,0,1,0,3
28 Days,Sandra Bullock,Viggo Mortensen,Dominic West,103,43000000,6.0,7465,13.5,68.0,23.5,0,0,0,1,0,0,51,31,2000,4,14,2000,37035515,1,0,0,4
28 Days Later,Cillian Murphy,Naomie Harris,Brendan Gleeson,113,8000000,7.3,24174,13.5,48.0,53.5,0,0,0,0,0,0,85,87,2003,6,27,2003,45064915,0,1,0,4
3000 Miles to Graceland,Kurt Russell,Kevin Costner,Courteney Cox,125,62000000,5.4,7298,13.5,48.0,23.5,1,0,1,0,0,0,47,14,2001,2,23,2001,15738632,0,1,0,4
40 Days and 40 Nights,Josh Hartnett,Shannyn Sossamon,Paulo Costanzo,96,17000000,5.4,8609,13.5,68.0,13.5,0,0,1,1,0,1,44,38,2002,3,1,2002,37939782,0,1,0,4
50 First Dates,Adam Sandler,Drew Barrymore,Rob Schneider,99,75000000,6.8,13497,13.5,48.0,43.5,0,0,1,0,0,1,65,44,2004,2,13,2004,120776832,1,0,0,4
Formula 51 (The 51st State),Samuel L. Jackson,Robert Carlyle,Emily Mortimer,92,27500000,6.1,6752,13.5,68.0,23.5,1,0,1,0,0,0,59,25,2002,10,18,2002,5204007,0,1,0,4
54,Ryan Phillippe,Salma Hayek,Neve Campbell,100,13000000,5.4,6905,13.5,68.0,13.5,0,0,0,1,0,0,45,13,1998,8,28,1998,16757163,0,1,0,4
The 6th Day,Arnold Schwarzenegger,Tony Goldwyn,Michael Rapaport,123,82000000,5.9,12064,13.5,68.0,23.5,1,0,0,0,0,0,32,41,2000,11,17,2000,34543701,1,0,0,4
8 Mile,Eminem,Kim Basinger,Brittany Murphy,110,41000000,6.8,17900,13.5,48.0,43.5,0,0,0,1,0,0,53,76,2002,11,8,2002,116724075,0,1,0,4
8MM,Nicolas Cage,Joaquin Phoenix,James Gandolfini,123,40000000,5.9,18541,13.5,58.0,23.5,0,0,0,0,0,0,53,23,1999,2,26,1999,36443442,0,1,0,4
AVP - Alien Vs. Predator,Sanaa Lathan,Raoul Bova,Lance Henriksen,102,57500000,5.4,14651,13.5,48.0,13.5,1,0,0,0,0,0,39,21,2004,8,13,2004,80281096,1,0,0,4
Abandon,Katie Holmes,Benjamin Bratt,Charlie Hunnam,99,25000000,4.7,2364,13.5,58.0,13.5,0,0,0,1,0,0,32,17,2002,10,18,2002,10719367,1,0,0,4
About Schmidt,Jack Nicholson,Hope Davis,Dermot Mulroney,125,30000000,7.3,23279,13.5,48.0,43.5,0,0,1,1,0,0,74,85,2002,12,13,2002,65005217,0,1,0,4
