RT_title,mpaa_kid,mpaa_adult,cast1,cast2,cast3,imdb_title,year,length,budget,imdb_rating,imdb_votes,rlow,rmed,rhigh,Action,Animation,Comedy,Drama,Documentary,Romance,Short
'Til There Was You,1,0,Jeanne Tripplehorn,Dylan McDermott,Sarah Jessica Parker,Til There Was You,1997,113,23000000,4.8,799,13.5,58.0,23.5,0,0,1,0,0,1,0
.com for Murder,1,0,Roger Daltrey,Nastassja Kinski,Nicollette Sheridan,com for Murder,2002,96,5000000,3.7,271,73.5,18.0,13.5,0,0,0,0,0,0,0
10 Things I Hate About You,1,0,Heath Ledger,Julia Stiles,Joseph Gordon-Levitt,10 Things I Hate About You,1999,97,16000000,6.7,19095,13.5,48.0,43.5,0,0,1,0,0,1,0
100 Mile Rule,1,0,Jake Weber,Maria Bello,David Thornton,100 Mile Rule,2002,98,1100000,5.6,181,13.5,58.0,33.5,0,0,1,0,0,0,0
102 Dalmatians,1,0,Glenn Close,Ioan Gruffudd,Alice Evans,102 Dalmatians,2000,100,85000000,4.7,1987,23.5,68.0,13.5,0,0,1,0,0,0,0
11:14,1,0,Henry Thomas,Blake Heron,Barbara Hershey,1114,2003,95,6000000,7.1,605,13.5,48.0,43.5,0,0,1,1,0,0,0
13 Going on 30,1,0,Jennifer Garner,Mark Ruffalo,Judy Greer,13 Going On 30,2004,98,37000000,6.4,7859,13.5,48.0,33.5,0,0,1,1,0,1,0
The 13th Warrior,1,0,Antonio Banderas,Diane Venora,Dennis Storhoi,13th Warrior The,1999,102,85000000,6.1,14344,13.5,58.0,23.5,1,0,0,0,0,0,0
1492: Conquest of Paradise,1,0,Gerard Depardieu,Armand Assante,Sigourney Weaver,1492 Conquest of Paradise,1992,154,47000000,6,3379,13.5,68.0,23.5,0,0,0,1,0,0,0
15 Minutes,1,0,Robert De Niro,Edward Burns,Kelsey Grammer,15 Minutes,2001,120,42000000,6.1,10866,13.5,68.0,23.5,0,0,0,1,0,0,0
2 Fast 2 Furious,1,0,Paul Walker,Tyrese Gibson,Eva Mendes,2 Fast 2 Furious,2003,107,76000000,5.1,9556,23.5,48.0,13.5,1,0,0,0,0,0,0
200 Cigarettes,1,0,Ben Affleck,Casey Affleck,Dave Chappelle,200 Cigarettes,1999,101,6000000,5.4,4514,13.5,58.0,23.5,0,0,1,1,0,0,0
