RT title,imdb_title,year,length,budget,rating,votes,rlow,rmed,rhigh,mpaa_kid,mpaa_adult,Action,Animation,Comedy,Drama,Documentary,Romance,Short,cast1,cast2,cast3
'Til There Was You,Til There Was You,1997,113,23000000,4.8,799,13.5,58.0,23.5,1,0,0,0,1,0,0,1,0,Jeanne Tripplehorn,Dylan McDermott,Sarah Jessica Parker
.com for Murder,com for Murder,2002,96,5000000,3.7,271,73.5,18.0,13.5,1,0,0,0,0,0,0,0,0,Roger Daltrey,Nastassja Kinski,Nicollette Sheridan
10 Things I Hate About You,10 Things I Hate About You,1999,97,16000000,6.7,19095,13.5,48.0,43.5,1,0,0,0,1,0,0,1,0,Heath Ledger,Julia Stiles,Joseph Gordon-Levitt
100 Mile Rule,100 Mile Rule,2002,98,1100000,5.6,181,13.5,58.0,33.5,1,0,0,0,1,0,0,0,0,Jake Weber,Maria Bello,David Thornton
102 Dalmatians,102 Dalmatians,2000,100,85000000,4.7,1987,23.5,68.0,13.5,1,0,0,0,1,0,0,0,0,Glenn Close,Ioan Gruffudd,Alice Evans
11:14,1114,2003,95,6000000,7.1,605,13.5,48.0,43.5,1,0,0,0,1,1,0,0,0,Henry Thomas,Blake Heron,Barbara Hershey
13 Going on 30,13 Going On 30,2004,98,37000000,6.4,7859,13.5,48.0,33.5,1,0,0,0,1,1,0,1,0,Jennifer Garner,Mark Ruffalo,Judy Greer
The 13th Warrior,13th Warrior The,1999,102,85000000,6.1,14344,13.5,58.0,23.5,1,0,1,0,0,0,0,0,0,Antonio Banderas,Diane Venora,Dennis Storhoi
1492: Conquest of Paradise,1492 Conquest of Paradise,1992,154,47000000,6,3379,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Gerard Depardieu,Armand Assante,Sigourney Weaver
15 Minutes,15 Minutes,2001,120,42000000,6.1,10866,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Robert De Niro,Edward Burns,Kelsey Grammer
2 Fast 2 Furious,2 Fast 2 Furious,2003,107,76000000,5.1,9556,23.5,48.0,13.5,1,0,1,0,0,0,0,0,0,Paul Walker,Tyrese Gibson,Eva Mendes
200 Cigarettes,200 Cigarettes,1999,101,6000000,5.4,4514,13.5,58.0,23.5,1,0,0,0,1,1,0,0,0,Ben Affleck,Casey Affleck,Dave Chappelle
2001 - A Space Travesty,2001 A Space Travesty,2000,99,26000000,2.5,2023,73.5,18.0,13.5,1,0,0,0,1,0,0,0,0,Leslie Nielsen,Alexandra Kamp-Groenveld,Verona Feldbusch
2046,2046,2004,129,12000000,7.6,2663,13.5,28.0,63.5,1,0,0,0,0,1,0,1,0,Li Gong,Takuya Kimura,Faye Wong
21 Grams,21 Grams,2003,124,20000000,8,21857,13.5,28.0,63.5,1,0,0,0,0,1,0,0,0,Sean Penn,Benicio Del Toro,Naomi Watts
The 24 Hour Woman,24 Hour Woman The,1999,93,2500000,5.6,149,13.5,68.0,23.5,1,0,0,0,1,0,0,0,0,Rosie Perez,Marianne Jean-Baptiste,Patti LuPone
25th Hour,25th Hour,2002,135,15000000,7.8,15788,13.5,28.0,73.5,1,0,0,0,0,1,0,0,0,Edward Norton,Philip Seymour Hoffman,Barry Pepper
28 Days,28 Days,2000,103,43000000,6,7465,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Sandra Bullock,Viggo Mortensen,Dominic West
28 Days Later,28 Days Later,2002,113,8000000,7.3,24174,13.5,48.0,53.5,1,0,0,0,0,0,0,0,0,Cillian Murphy,Naomie Harris,Brendan Gleeson
3 Strikes,3 Strikes,2000,82,6000000,3.7,305,53.5,38.0,13.5,1,0,0,0,1,0,0,0,0,Brian Hooks,N'Bushe Wright,Faizon Love
3000 Miles to Graceland,3000 Miles to Graceland,2001,125,62000000,5.4,7298,13.5,48.0,23.5,1,0,1,0,1,0,0,0,0,Kurt Russell,Kevin Costner,Courteney Cox
