RT_title,RT_aud_score,RT_crit_score,RT_mpaa_rating,RT_runtime,RT_year,num_title,num_month,num_day,num_year,num_budget,num_gross
Avatar,82,83,PG-13,162,2009,Avatar,12,18,2009,425000000,760507625
Pirates of the Caribbean: At Worlds End,72,44,PG-13,169,2007,Pirates of the Caribbean At Worlds End,5,24,2007,300000000,309420425
The Dark Knight Rises,90,88,PG-13,165,2012,The Dark Knight Rises,7,20,2012,275000000,448139099
The Lone Ranger,54,30,PG-13,149,2013,The Lone Ranger,7,2,2013,275000000,89289910
John Carter,60,51,PG-13,118,2012,John Carter,3,9,2012,275000000,73058679
Tangled,87,89,PG,100,2010,Tangled,11,24,2010,260000000,200821936
Spider-Man 3,51,63,PG-13,139,2007,SpiderMan 3,5,4,2007,258000000,336530303
The Hobbit: An Unexpected Journey,83,65,PG-13,170,2012,The Hobbit An Unexpected Journey,12,14,2012,250000000,303003568
Harry Potter and the Half-Blood Prince,77,84,PG,154,2009,Harry Potter and the HalfBlood Prince,7,15,2009,250000000,301959197
The Hobbit: The Desolation Of Smaug,85,75,PG-13,161,2013,The Hobbit The Desolation of Smaug,12,13,2013,250000000,254710178
Pirates of the Caribbean: On Stranger Tides,55,33,PG-13,137,2011,Pirates of the Caribbean On Stranger Tides,5,20,2011,250000000,241063875
The Hobbit: There and Back Again,99,-1,PG-13,166,2014,The Hobbit There and Back Again,12,17,2014,250000000,0
Superman Returns,62,76,PG-13,154,2006,Superman Returns,6,28,2006,232000000,200120000
Quantum of Solace,59,64,PG-13,105,2008,Quantum of Solace,11,14,2008,230000000,169368427
Marvel's The Avengers,91,92,PG-13,142,2012,Marvels The Avengers,5,4,2012,225000000,623279547
Pirates of the Caribbean: Dead Man's Chest,72,54,PG-13,151,2006,Pirates of the Caribbean Dead Mans Chest,7,7,2006,225000000,423315812
Man of Steel,76,56,PG-13,143,2013,Man of Steel,6,14,2013,225000000,291045518
The Chronicles of Narnia: Prince Caspian,73,67,PG,144,2008,The Chronicles of Narnia Prince Caspian,5,16,2008,225000000,141621490
47 Ronin,55,12,PG-13,127,2013,47 Ronin,12,25,2013,225000000,38362475
The Amazing Spider-Man,77,73,PG-13,136,2012,The Amazing SpiderMan,7,3,2012,220000000,262030663
Men in Black III,71,70,PG-13,105,2012,Men in Black 3,5,25,2012,215000000,179020854
Transformers: Revenge of the Fallen,58,20,PG-13,149,2009,Transformers Revenge of the Fallen,6,24,2009,210000000,402111870
X-Men: The Last Stand,63,57,PG-13,87,2006,XMen The Last Stand,5,26,2006,210000000,234362462
Robin Hood,58,43,PG-13,148,2010,Robin Hood,5,14,2010,210000000,105487148
Battleship,55,34,PG-13,131,2012,Battleship,5,18,2012,209000000,65235400
King Kong,49,84,PG-13,187,2005,King Kong,12,14,2005,207000000,218080025
The Golden Compass,51,42,PG-13,113,2007,The Golden Compass,12,1,2007,205000000,70107728
Titanic,69,88,PG-13,45,1997,Titanic,12,19,1997,200000000,658672302
Toy Story 3,89,99,G,103,2010,Toy Story 3,6,18,2010,200000000,415004880
Iron Man 3,79,78,PG-13,109,2013,Iron Man 3,5,3,2013,200000000,408992272
Spider-Man 2,81,94,PG-13,127,2004,SpiderMan 2,6,30,2004,200000000,373524485
Alice in Wonderland,55,51,PG,109,2010,Alice in Wonderland,3,5,2010,200000000,334191110
Skyfall,86,92,PG-13,145,2012,Skyfall,11,8,2012,200000000,304360277
Oz the Great and Powerful,57,59,PG,127,2013,Oz the Great and Powerful,3,8,2013,200000000,234770996
Cars 2,51,39,G,112,2011,Cars 2,6,24,2011,200000000,191450875
Tron Legacy,64,51,PG,125,2010,Tron Legacy,12,17,2010,200000000,172062763
2012,47,39,PG-13,158,2009,2012,11,13,2009,200000000,166112167
Terminator Salvation,55,33,PG-13,115,2009,Terminator Salvation,5,21,2009,200000000,125322469
Green Lantern,46,26,PG-13,113,2011,Green Lantern,6,17,2011,200000000,116601172
Prince of Persia: The Sands of Time,58,36,PG-13,116,2010,Prince of Persia Sands of Time,5,28,2010,200000000,90759676
Transformers: Dark of the Moon,56,36,PG-13,154,2011,Transformers Dark of the Moon,6,29,2011,195000000,352390543
Jack the Giant Slayer,56,52,PG-13,114,2013,Jack the Giant Slayer,3,1,2013,195000000,65187603
Star Trek Into Darkness,90,87,PG-13,131,2013,Star Trek Into Darkness,5,15,2013,190000000,228778661
World War Z,73,67,PG-13,115,2013,World War Z,6,21,2013,190000000,202359711
The Great Gatsby,68,49,PG-13,142,2013,The Great Gatsby,5,10,2013,190000000,144840419
Disney's A Christmas Carol,58,54,PG,96,2009,Disneys A Christmas Carol,11,6,2009,190000000,137855863
Pacific Rim,78,71,PG-13,131,2013,Pacific Rim,7,12,2013,190000000,101802906
Sesame Street - A Sesame Street Christmas Carol,44,-1,Unrated,50,2006,A Christmas Carol,11,4,2006,190000000,0
Iron Man,91,93,PG-13,126,2008,Iron Man,5,2,2008,186000000,318604126
The Dark Knight,94,94,PG-13,152,2008,The Dark Knight,7,18,2008,185000000,533345358
Indiana Jones and the Kingdom of the Crystal Skull,54,78,PG-13,122,2008,Indiana Jones and the Kingdom of the Crystal Skull,5,22,2008,185000000,317023851
Brave,76,78,PG,93,2012,Brave,6,22,2012,185000000,237282182
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",61,76,PG,139,2005,The Chronicles of Narnia The Lion the Witch and the Wardrobe,12,9,2005,180000000,291710957
WALL-E,89,96,G,97,2008,WALLE,6,27,2008,180000000,223808164
Rush Hour 3,63,18,PG-13,90,2007,Rush Hour 3,8,10,2007,180000000,140125968
Hugo,78,94,PG,126,2011,Hugo,11,23,2011,180000000,73864507
Up,89,98,PG,89,2009,Up,5,29,2009,175000000,293004164
Monsters vs. Aliens,59,72,PG,94,2009,Monsters vs Aliens,3,27,2009,175000000,198351526
G.I. Joe: The Rise of Cobra,50,35,PG-13,118,2009,GI Joe The Rise of Cobra,8,7,2009,175000000,150201498
Wild Wild West,28,20,PG-13,107,1999,Wild Wild West,6,30,1999,175000000,113805681
The Mummy: Tomb of the Dragon Emperor,30,13,PG-13,112,2008,The Mummy Tomb of the Dragon Emperor,8,1,2008,175000000,102491776
Evan Almighty,53,23,PG,96,2007,Evan Almighty,6,22,2007,175000000,100289690
Waterworld,43,43,PG-13,135,1995,Waterworld,7,28,1995,175000000,88246220
Singularity,94,-1,Unrated,,2013,Singularity,12,31,2012,175000000,0
Iron Man 2,73,73,PG-13,124,2010,Iron Man 2,5,7,2010,170000000,312433331
Thor: The Dark World,81,65,PG-13,112,2013,Thor The Dark World,11,8,2013,170000000,204674790
The Polar Express,63,56,G,100,2004,The Polar Express,11,10,2004,170000000,194949659
Snow White and the Huntsman,52,48,PG-13,128,2012,Snow White and the Huntsman,6,1,2012,170000000,155136755
Terminator 3 - Rise of the Machines,47,70,R,109,2003,Terminator 3 Rise of the Machines,7,1,2003,170000000,150358296
Van Helsing,58,23,PG-13,145,2004,Van Helsing,5,7,2004,170000000,120150546
Shrek Forever After,54,58,PG,93,2010,Shrek Forever After,5,21,2010,165000000,238736787
How to Train Your Dragon,91,98,PG,98,2010,How to Train Your Dragon,3,26,2010,165000000,217581231
Wreck-it Ralph,86,86,PG,92,2012,WreckIt Ralph,11,2,2012,165000000,189412677
Cowboys & Aliens,44,44,PG-13,119,2011,Cowboys and Aliens,7,29,2011,163000000,100240551
Shrek the Third,53,40,PG,92,2007,Shrek the Third,5,17,2007,160000000,322719944
Inception,91,86,PG-13,148,2010,Inception,7,16,2010,160000000,292576195
Fast & Furious 6,84,69,PG-13,130,2013,Fast and Furious 6,5,24,2013,160000000,238679850
X-Men: First Class,87,87,PG-13,132,2011,XMen First Class,6,3,2011,160000000,146408305
The Curious Case of Benjamin Button,80,72,PG-13,166,2008,The Curious Case of Benjamin Button,12,25,2008,160000000,127509326
The Sorcerer's Apprentice,53,41,PG,111,2010,The Sorcerers Apprentice,7,14,2010,160000000,63150991
Poseidon,44,33,PG-13,99,2006,Poseidon,5,12,2006,160000000,60674817
The Chronicles of Narnia: The Voyage of the Dawn Treader,59,49,PG,113,2010,The Chronicles of Narnia The Voyage of the Dawn Treader,12,10,2010,155000000,104386950
Alexander,35,16,R,176,2004,Alexander,11,24,2004,155000000,34297191
Pearl Harbor,0,-1,Unrated,,2000,Pearl Harbor,5,25,2001,151500000,198539855
Transformers,86,57,PG-13,143,2007,Transformers,7,2,2007,151000000,319246193
Frozen,89,89,PG,85,2013,Frozen,11,22,2013,150000000,361764626
Harry Potter and the Order of the Phoenix,81,79,PG-13,138,2007,Harry Potter and the Order of the Phoenix,7,11,2007,150000000,292004738
Harry Potter and the Goblet of Fire,73,88,PG-13,157,2005,Harry Potter and the Goblet of Fire,11,18,2005,150000000,290013036
I Am Legend,68,70,PG-13,100,2007,I am Legend,12,14,2007,150000000,256393010
Hancock,60,41,PG-13,92,2008,Hancock,7,1,2008,150000000,227946274
Charlie and the Chocolate Factory,51,82,PG,130,2005,Charlie and the Chocolate Factory,7,15,2005,150000000,206459076
Ratatouille,87,96,G,110,2007,Ratatouille,6,29,2007,150000000,206445654
Batman Begins,94,85,PG-13,140,2005,Batman Begins,6,15,2005,150000000,205343774
Thor,76,77,PG-13,115,2011,Thor,5,6,2011,150000000,181030624
Madagascar: Escape 2 Africa,66,64,PG,89,2008,Madagascar Escape 2 Africa,11,7,2008,150000000,180010950
X-Men Origins - Wolverine,60,38,PG-13,107,2009,XMen Origins Wolverine,5,1,2009,150000000,179883157
Night at the Museum 2: Battle of the Smithsonian,47,44,PG,105,2009,Night at the Museum Battle of the Smithsonian,5,22,2009,150000000,177243721
Kung Fu Panda 2,74,81,PG,88,2011,Kung Fu Panda 2,5,26,2011,150000000,165249063
Mission: Impossible III,68,70,PG-13,127,2006,Mission Impossible III,5,5,2006,150000000,133501348
Angels & Demons,58,37,PG-13,139,2009,Angels  Demons,5,15,2009,150000000,133375846
Troy,74,54,R,165,2004,Troy,5,14,2004,150000000,133298577
The Last Airbender,31,6,PG,103,2010,The Last Airbender,7,1,2010,150000000,131772187
Bee Movie,53,51,PG,90,2007,Bee Movie,11,2,2007,150000000,126631277
G-Force,40,22,PG,90,2009,GForce,7,24,2009,150000000,119436770
Bolt,74,88,PG,96,2008,Bolt,11,21,2008,150000000,114053759
Wrath of the Titans,49,25,PG-13,99,2012,Wrath of the Titans,3,30,2012,150000000,83670083
Beowulf,67,-1,Unrated,98,2006,Beowulf,11,16,2007,150000000,82195215
White House Down,63,50,PG-13,137,2013,White House Down,6,28,2013,150000000,73103784
The Wolfman,33,34,R,103,2010,The Wolfman,2,12,2010,150000000,62189884
Mars Needs Moms,41,37,PG,88,2011,Mars Needs Moms,3,11,2011,150000000,21392758
Flushed Away,65,72,PG,84,2006,Flushed Away,11,3,2006,149000000,64665672
Madagascar 3: Europe's Most Wanted,73,79,PG,93,2012,Madagascar 3 Europes Most Wanted,6,8,2012,145000000,216391482
Mission: Impossible Ghost Protocol,76,93,PG-13,132,2011,Mission Impossible  Ghost Protocol,12,16,2011,145000000,209397903
Tarzan,73,88,G,88,1999,Tarzan,6,16,1999,145000000,171091819
Rise of the Guardians,81,74,PG,97,2012,Rise of the Guardians,11,21,2012,145000000,103412758
Sahara,55,39,PG-13,124,2005,Sahara,4,8,2005,145000000,68671925
Die Another Day,42,57,PG-13,133,2002,Die Another Day,11,22,2002,142000000,160942139
Star Trek,91,95,PG-13,127,2009,Star Trek,5,8,2009,140000000,257730019
Armageddon,100,-1,Unrated,90,1997,Armageddon,7,1,1998,140000000,201578182
Men in Black II,46,39,PG-13,88,2002,Men in Black 2,7,3,2002,140000000,190418803
Captain America: The First Avenger,73,79,PG-13,124,2011,Captain America The First Avenger,7,22,2011,140000000,176654505
Lethal Weapon 4,65,52,R,127,1998,Lethal Weapon 4,7,10,1998,140000000,130444603
G.I. Joe: Retaliation,49,28,PG-13,90,2013,GI Joe Retaliation,3,27,2013,140000000,122523060
The Last Samurai,83,65,R,154,2003,The Last Samurai,12,5,2003,140000000,111110575
Fun With Dick and Jane,50,29,PG-13,90,2005,Fun With Dick And Jane,12,21,2005,140000000,110550000
